Time,United Kingdom on a Customs Basis,European Union excluding the United Kingdom on a Customs Basis,Japan on a Customs Basis,United Kingdom on a Balance of Trade Basis,European Union excluding the United Kingdom on a Balance of Trade Basis,Japan on a Balance of Trade Basis
06/10,"889,200,000","1,386,600,000","898,300,000","977,400,000","1,566,700,000","965,100,000"
07/10,"1,291,200,000","1,473,300,000","770,100,000","1,383,000,000","1,698,900,000","815,300,000"
08/10,"1,444,300,000","1,403,900,000","769,800,000","1,546,300,000","1,623,400,000","816,300,000"
09/10,"1,368,600,000","1,567,700,000","707,900,000","1,470,000,000","1,766,000,000","747,000,000"
10/10,"1,469,400,000","1,773,800,000","914,500,000","1,601,900,000","1,954,400,000","966,500,000"
11/10,"2,000,900,000","1,798,100,000","873,500,000","1,979,000,000","1,973,700,000","923,700,000"
12/10,"1,665,400,000","1,908,700,000","801,500,000","1,697,800,000","2,075,600,000","851,700,000"
01/11,"1,615,400,000","1,652,400,000","812,400,000","1,547,500,000","1,919,500,000","867,200,000"
02/11,"1,202,600,000","1,395,200,000","845,200,000","1,281,200,000","1,518,800,000","903,900,000"
03/11,"1,479,400,000","1,709,000,000","845,100,000","1,488,700,000","1,848,100,000","890,300,000"
04/11,"1,133,800,000","1,597,600,000","829,000,000","1,206,100,000","1,712,200,000","865,800,000"
05/11,"1,662,700,000","1,720,700,000","981,800,000","1,530,600,000","1,870,100,000","1,049,200,000"
06/11,"1,500,800,000","1,620,700,000","766,600,000","1,596,700,000","1,748,500,000","816,000,000"
07/11,"1,551,000,000","1,854,900,000","907,000,000","1,652,100,000","2,046,000,000","956,800,000"
08/11,"1,994,300,000","1,885,100,000","952,900,000","2,010,700,000","1,996,000,000","1,018,400,000"
09/11,"1,777,200,000","1,959,500,000","1,004,600,000","1,891,000,000","2,084,300,000","1,086,600,000"
10/11,"1,246,800,000","2,020,800,000","864,600,000","1,320,100,000","2,168,200,000","895,500,000"
11/11,"1,863,600,000","2,047,200,000","946,100,000","1,977,400,000","2,176,500,000","1,001,900,000"
12/11,"1,764,200,000","1,819,500,000","913,300,000","1,869,300,000","1,953,200,000","984,700,000"
01/12,"1,542,600,000","1,568,400,000","657,100,000","1,635,700,000","1,662,700,000","669,600,000"
02/12,"1,830,400,000","1,501,000,000","849,000,000","1,886,500,000","1,582,900,000","915,000,000"
03/12,"1,650,900,000","1,707,100,000","948,500,000","1,751,900,000","1,859,200,000","993,700,000"
04/12,"1,594,700,000","1,755,500,000","924,300,000","1,692,700,000","1,886,700,000","979,500,000"
05/12,"1,605,400,000","1,752,200,000","800,800,000","1,704,000,000","1,874,700,000","833,200,000"
06/12,"1,496,900,000","1,670,600,000","1,054,300,000","1,584,200,000","1,757,500,000","1,110,700,000"
07/12,"1,535,200,000","1,689,900,000","893,900,000","1,625,700,000","1,779,200,000","923,200,000"
08/12,"1,620,100,000","1,630,300,000","710,800,000","1,718,600,000","1,718,900,000","739,900,000"
09/12,"1,702,700,000","1,576,500,000","1,073,000,000","1,806,600,000","1,657,800,000","1,116,900,000"
10/12,"1,715,200,000","1,837,900,000","824,800,000","1,814,000,000","1,949,200,000","838,100,000"
11/12,"1,162,800,000","1,683,200,000","897,300,000","1,231,400,000","1,766,800,000","917,700,000"
12/12,"1,302,400,000","1,540,100,000","724,600,000","1,378,000,000","1,647,400,000","786,300,000"
01/13,"1,666,500,000","1,413,700,000","767,400,000","1,760,400,000","1,456,900,000","763,400,000"
02/13,"1,780,700,000","1,315,900,000","790,100,000","1,884,600,000","1,395,100,000","831,600,000"
03/13,"1,341,500,000","1,609,800,000","1,104,500,000","1,422,800,000","1,792,700,000","1,139,300,000"
04/13,"1,332,900,000","1,491,700,000","888,900,000","1,408,000,000","1,582,500,000","887,500,000"
05/13,"893,500,000","1,648,900,000","935,300,000","912,400,000","1,722,700,000","984,700,000"
06/13,"1,393,800,000","1,430,700,000","904,600,000","1,466,400,000","1,540,000,000","943,000,000"
07/13,"866,400,000","1,557,600,000","865,100,000","942,800,000","1,704,600,000","881,300,000"
08/13,"724,000,000","1,553,000,000","864,500,000","805,800,000","1,654,000,000","894,500,000"
09/13,"1,223,800,000","1,557,000,000","919,500,000","1,295,300,000","1,660,100,000","959,100,000"
10/13,"761,900,000","2,255,200,000","852,800,000","802,100,000","2,447,900,000","871,800,000"
11/13,"1,079,800,000","1,580,600,000","808,800,000","1,114,200,000","1,628,700,000","843,600,000"
12/13,"897,800,000","1,795,600,000","930,500,000","944,400,000","1,776,900,000","970,400,000"
01/14,"807,000,000","1,632,600,000","698,800,000","847,200,000","1,691,000,000","703,800,000"
02/14,"1,187,800,000","1,623,100,000","862,800,000","1,216,800,000","1,673,100,000","850,500,000"
03/14,"1,400,000,000","1,953,900,000","935,900,000","1,432,900,000","2,025,100,000","987,000,000"
04/14,"708,400,000","1,824,400,000","888,700,000","729,300,000","1,913,100,000","931,400,000"
05/14,"955,000,000","2,339,400,000","923,200,000","1,001,200,000","2,403,400,000","957,600,000"
06/14,"1,423,200,000","2,103,100,000","1,035,000,000","1,469,500,000","2,168,200,000","1,082,300,000"
07/14,"1,727,800,000","1,887,600,000","996,200,000","1,802,700,000","1,922,100,000","1,013,200,000"
08/14,"1,318,700,000","1,863,800,000","841,000,000","1,380,200,000","2,141,900,000","881,700,000"
09/14,"1,552,300,000","1,892,100,000","1,005,500,000","1,629,300,000","2,140,100,000","1,041,600,000"






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































